method,N,nproc,wall_time,max_rss
exafmm,1000,2,1.55,25616
exafmm,10000,2,2.06,37344
exafmm,100000,16,6.84,297400
exafmm,1000000,32,27.55,3145412
strumpack,1000,8,0.88,62908
strumpack_mv,1000,8,0.000018,62908
strumpack,2000,16,2.12,83032
strumpack_mv,2000,16,0.000026,83032
strumpack,6000,32,38.63,219856
strumpack_mv,6000,32,0.000024,219856
strumpack,10000,32,223.15,442560
strumpack_mv,10000,32,0.000028,442560
exafmmt,1000,32,0.86,398028
exafmmt,10000,32,0.96,564376
exafmmt,100000,32,1.6,1139684
exafmmt,1000000,32,5.51,6953524
exafmmt,10000000,32,39.38,52271820
fmm3d,1000,32,0.39,63888
fmm3d,10000,32,0.64,205428
fmm3d,100000,32,1.73,983496
fmm3d,1000000,32,12.97,6106520
fmm3d,10000000,32,137.42,48161852
flam,1000,32,0.71,206400
flam_mv,1000,32,0.0029469,206400
flam,10000,32,19.96,1287296
flam_mv,10000,32,0.029122,1287296
flam,100000,32,1551.58,24720480
flam_mv,100000,32,0.42821,24720480
